235	-2	-77
238	5	-72
238	5	-72
238	5	-72
242	2	-73
242	2	-73
242	2	-73
232	2	-80
232	2	-80
232	2	-80
236	3	-72
236	3	-72
236	3	-72
236	-1	-74
236	-1	-74
236	-1	-74
237	-2	-70
237	-2	-70
237	-2	-70
232	4	-70
232	4	-70
232	4	-70
246	-2	-86
246	-2	-86
246	-2	-86
233	5	-74
233	5	-74
233	5	-74
239	0	-70
239	0	-70
239	0	-70
238	5	-74
238	5	-74
238	5	-74
238	1	-78
238	1	-78
238	1	-78
239	2	-66
239	2	-66
239	2	-66
230	0	-73
230	0	-73
230	0	-73
235	0	-75
235	0	-75
235	0	-75
236	8	-74
236	8	-74
236	8	-74
239	2	-75
239	2	-75
239	2	-75
241	-1	-74
241	-1	-74
241	-1	-74
233	8	-74
233	8	-74
233	8	-74
224	12	-74
224	12	-74
224	12	-74
237	0	-82
237	0	-82
237	0	-82
238	-3	-72
238	-3	-72
238	-3	-72
237	4	-70
237	4	-70
237	4	-70
237	2	-68
237	2	-68
237	2	-68
223	9	-70
223	9	-70
223	9	-70
232	-4	-77
232	-4	-77
232	-4	-77
232	2	-77
232	2	-77
232	2	-77
236	-3	-69
236	-3	-69
236	-3	-69
232	-4	-73
232	-4	-73
232	-4	-73
232	9	-86
232	9	-86
232	9	-86
231	-3	-78
231	-3	-78
231	-3	-78
227	-4	-70
227	-4	-70
227	-4	-70
237	0	-73
237	0	-73
237	0	-73
224	-8	-74
224	-8	-74
224	-8	-74
216	-9	-75
216	-9	-75
216	-9	-75
214	-10	-81
214	-10	-81
214	-10	-81
199	-21	-73
199	-21	-73
199	-21	-73
189	-30	-68
189	-30	-68
189	-30	-68
178	-28	-73
178	-28	-73
178	-28	-73
172	-22	-65
172	-22	-65
172	-22	-65
168	-28	-64
168	-28	-64
168	-28	-64
154	-30	-64
154	-30	-64
154	-30	-64
154	-25	-59
154	-25	-59
154	-25	-59
130	-30	-61
130	-30	-61
130	-30	-61
128	-28	-54
128	-28	-54
128	-28	-54
118	-25	-57
118	-25	-57
118	-25	-57
113	-23	-59
113	-23	-59
113	-23	-59
92	-21	-50
92	-21	-50
92	-21	-50
97	-16	-54
97	-16	-54
97	-16	-54
100	-15	-58
100	-15	-58
100	-15	-58
84	-10	-53
84	-10	-53
84	-10	-53
74	-10	-44
74	-10	-44
74	-10	-44
78	-9	-52
78	-9	-52
78	-9	-52
64	4	-52
64	4	-52
64	4	-52
62	-1	-46
62	-1	-46
62	-1	-46
59	18	-48
59	18	-48
59	18	-48
64	25	-43
64	25	-43
64	25	-43
47	16	-41
47	16	-41
47	16	-41
51	22	-35
51	22	-35
51	22	-35
49	16	-41
49	16	-41
49	16	-41
51	31	-46
51	31	-46
51	31	-46
26	37	-38
26	37	-38
26	37	-38
33	39	-34
33	39	-34
33	39	-34
32	45	-49
32	45	-49
32	45	-49
32	57	-40
32	57	-40
32	57	-40
28	68	-43
28	68	-43
28	68	-43
33	58	-36
33	58	-36
33	58	-36
30	75	-45
30	75	-45
30	75	-45
21	79	-34
21	79	-34
21	79	-34
32	81	-42
32	81	-42
32	81	-42
17	92	-26
17	92	-26
14	108	-34
14	108	-34
14	108	-34
16	112	-34
16	112	-34
16	112	-34
20	109	-37
20	109	-37
20	109	-37
16	117	-45
16	117	-45
16	117	-45
17	128	-24
17	128	-24
17	128	-24
18	131	-36
18	131	-36
